Tid[s] Avstand[m]
12405 114078.66837967593
12420 114225.46374745031
12435 114357.55129417595
12450 114396.72500985363
12465 114517.64026943661
12480 114644.77806869388
12495 114715.06448274387
12510 114818.72633686585
12525 114926.63083167493
12540 115035.80811869007
12555 115137.63149518096
12570 115260.10238968252
12585 115425.84821919257
12600 115700.34707164924
12615 115954.48124880767
12630 116146.10718650925
12645 116262.07269862386
12660 116379.02816023213
12675 116501.64047608981
12690 116620.01015126042
12705 116672.76031713701
12720 116759.02734444178
12735 116855.75955210807
12750 116995.90811613925
12765 117089.95331803702
12780 117217.37396000694
12795 117399.66608819681
12810 117602.04004897244
12825 117785.60496936836
12840 117955.31059685312
12855 118184.27177260142
12870 118365.14968722884
12885 118506.99530753483
12900 118563.1395859611
12915 118597.08071145802
12930 118727.75404462135
12945 118867.76118729626
12960 119000.55584080305
12975 119118.78409461751
12990 119268.69073222904
13005 119412.51625152238
13020 119552.8062369098
13035 119727.17876915043
13050 119889.38906475455
13065 120086.5304353494
13080 120264.72134420832
13095 120447.72057917947
13110 120638.78083145604
13125 120815.69894810888
13140 121039.56895503256
13155 121270.5100297681
13170 121526.90694862638
13185 121734.79634229527
13200 121882.44023820694
13215 122004.06260457107
13230 122118.18963905456
13245 122211.81057688368
13260 122324.24055509237
13275 122439.21611771328
13290 122552.35320270313
13305 122621.9325099718
13320 122676.23831076697
13335 122721.06888069419
13350 122725.31152138126
13365 122848.20667995146
13380 122971.24325987793
13395 123082.96613130542
13410 123165.27336063549
13425 123279.54181647528
13440 123362.838995299
13455 123462.5410514463
13470 123586.99184493518
13485 123698.85613771882
13500 123778.7592039929
13515 123783.00184467998
13530 123783.70895146114
13545 123848.90419668659
13560 123894.01760932633
13575 123948.32341012139
13590 123959.49569726418
13605 123988.0628112241
13620 124032.3276957264
13635 124080.2695354909
13650 124103.60405927006
13665 124217.0239869724
13680 124322.8071614379
13695 124446.12658407685
13710 124548.23280328013
13725 124636.903993641
13740 124718.92838025854
13755 124755.98077559276
13770 124762.91042204836
13785 124816.08485199361
13800 124852.28871919039
13815 124856.38993852121
13830 124886.79553011236
13845 124965.14296146772
13860 125058.48105658445
13875 125122.96919502864
13890 125167.23407953081
13905 125226.34820643811
13920 125297.6245699816
13935 125371.02225386887
13950 125474.96695070327
13965 125567.0322536138
13980 125707.74650307
13995 125818.47942500384
14010 125961.45641615965
14025 126073.03786623092
14040 126158.0321013296
14055 126194.94307530756
14070 126229.59130758578
14085 126294.78655281111
14100 126416.12607646274
14115 126501.1203115613
14130 126543.26387572015
14145 126607.32775009554
14160 126647.63283662318
14175 126655.26958986004
14190 126715.6565089734
14205 126760.91134296938
14220 126864.57319709138
14235 126912.23219414335
14250 126997.79211466682
14265 127104.98950269473
14280 127202.00455307351
14295 127285.4431532535
14310 127395.89323247482
14325 127494.88818184096
14340 127595.43876612566
14355 127695.42366498547
14370 127804.03526657571
14385 127849.57294328407
14400 127898.50473254222
14415 127987.17592290298
14430 128006.83349141994
14445 128160.2756629374
14460 128278.0796526831
14475 128370.00353423739
14490 128457.96761781696
14505 128556.67972447057
14520 128662.88716300482
14535 128775.4585625696
14550 128823.68324504662
14565 128984.19648437593
14580 129110.34433413965
14595 129229.84538016019
14610 129548.89195983154
14625 129890.42453514466
14640 130287.25286074649
14655 130470.25209571751
14670 130797.50111405067
14685 131225.01787395618
14700 131553.96394856405
14715 131949.37806060354
14730 132421.72539043624
14745 132867.4855052963
14760 133120.77115431728
14775 133442.22189704466
14790 133877.6582528994
14805 134336.99481795807
14820 134823.767126127
14835 135208.43321509246
14850 135611.62550172498
14865 136055.5471389539
14880 136442.0517055505
14895 136643.57713818867
14910 136857.83049288814
14925 137057.376026539
14940 137221.99048519923
14955 137362.4218919429
14970 137513.88416447304
14985 137655.58836342278
15000 137808.8891135841
15015 137956.10874542707
15030 138097.6715230207
15045 138108.84381016335
15060 138192.42383169965
15075 138350.39148661666
15090 138450.09354276396
15105 138549.22991348637
15120 138699.41939381039
15135 138874.21619011962
15150 139092.28792143767
15165 139314.88513615515
15180 139626.29496258963
15195 139948.16996938578
15210 140375.68672929128
15225 140828.6593333193
15240 141209.93130973508
15255 141555.84794709156
15270 141978.41495952866
15285 142413.1442086021
